,NO,NO2,AirTemp,Press,UMR,O3,PM10
119,67.77,49.85,5.9,0,70.8,0,282.94
120,21.24,26.57,7.0,0,65.6,0,27.72
121,16.02,20.51,5.7,0,71.9,0,27.72
122,13.61,17.33,4.9,0,77.8,0,27.72
123,18.64,25.82,3.6,0,85.1,0,27.72
124,18.91,34.3,2.8,0,90.6,0,27.72
125,31.94,39.2,2.6,0,93.0,0,27.72
126,51.06,50.47,2.6,0,93.7,0,27.72
127,76.47,70.8,2.5,0,93.7,0,27.72
128,136.89,80.77,2.5,0,93.9,0,27.72
129,98.44,74.79,2.7,0,94.1,0,27.72
130,56.08,67.4,2.9,0,94.2,0,27.72
131,54.21,64.81,2.5,0,95.0,0,27.72
132,29.35,52.98,1.2,0,95.6,0,27.72
133,26.8,50.7,1.1,0,96.0,0,27.72
134,27.0,52.7,1.1,0,96.2,0,27.72
135,30.66,54.58,0.9,0,96.6,0,27.72
136,29.65,53.97,0.8,0,96.9,0,27.72
137,25.43,50.72,0.6,0,97.2,0,27.72
138,14.5,40.62,0.6,0,97.3,0,27.72
139,12.42,36.85,0.4,0,97.5,0,27.72
140,21.35,42.94,0.4,0,97.4,0,27.72
141,21.67,41.13,0.3,0,97.4,0,27.72
142,9.71,29.0,0.2,0,97.4,0,27.72
143,8.37,23.9,0.2,0,97.6,0,27.72
144,7.95,22.81,0.2,0,97.8,0,13.09
145,6.76,18.59,0.4,0,98.0,0,13.09
146,5.88,14.57,0.3,0,97.9,0,13.09
147,5.09,12.1,0.3,0,98.1,0,13.09
148,4.7,10.4,0.1,0,98.4,0,13.09
149,4.4,9.78,0.0,0,98.5,0,13.09
150,4.15,10.46,-0.1,0,98.7,0,13.09
151,5.06,16.44,-0.1,0,98.5,0,13.09
152,7.25,19.81,-0.1,0,98.4,0,13.09
153,5.79,12.41,0.0,0,97.7,0,13.09
154,7.56,15.16,0.3,0,96.5,0,13.09
155,8.41,18.77,0.4,0,95.1,0,13.09
156,9.02,23.83,0.6,0,93.6,0,13.09
157,7.77,22.31,0.5,0,92.0,0,13.09
158,7.18,22.44,0.5,0,89.7,0,13.09
159,6.89,21.22,0.4,0,88.8,0,13.09
160,7.09,21.83,0.3,0,88.3,0,13.09
161,5.52,19.71,0.1,0,88.0,0,13.09
162,5.32,20.7,-0.1,0,88.1,0,13.09
163,5.34,22.91,-0.1,0,88.5,0,13.09
164,5.25,21.8,-0.2,0,89.3,0,13.09
165,4.23,18.82,-0.2,0,86.6,0,13.09
166,3.98,17.24,-0.3,0,84.0,0,13.09
167,3.83,15.76,-0.5,0,83.2,0,13.09
168,3.38,14.66,-0.8,0,81.3,0,28.59
169,2.87,11.48,-1.1,0,81.0,0,28.59
170,2.51,9.9,-1.4,0,81.4,0,28.59
171,2.19,9.02,-1.6,0,80.6,0,28.59
172,1.84,8.48,-1.6,0,78.0,0,28.59
173,1.54,8.52,-1.6,0,75.1,0,28.59
174,1.45,9.04,-1.6,0,75.1,0,28.59
175,1.44,11.19,-1.9,0,75.5,0,28.59
176,2.44,13.63,-1.8,0,74.9,0,28.59
177,3.72,14.84,-1.1,0,71.8,0,28.59
178,3.92,11.97,-0.5,0,71.4,0,28.59
179,4.03,10.55,0.8,0,69.0,0,28.59
180,5.84,13.42,1.3,0,68.7,0,28.59
181,5.91,15.32,0.9,0,70.0,0,28.59
182,4.31,11.44,0.8,0,71.1,0,28.59
183,4.15,13.94,0.8,0,73.0,0,28.59
184,5.98,26.29,0.7,0,74.2,0,28.59
185,7.97,39.7,0.1,0,78.8,0,28.59
186,13.61,43.17,-0.2,0,83.0,0,28.59
187,20.12,52.56,-0.2,0,85.9,0,28.59
188,29.25,55.63,0.0,0,87.0,0,28.59
189,14.31,46.01,-0.1,0,88.3,0,28.59
190,12.59,43.31,-0.3,0,90.2,0,28.59
191,22.47,43.12,-0.6,0,91.7,0,28.59
192,20.47,35.23,-0.5,0,92.1,0,21.23
193,17.57,33.28,-0.5,0,92.1,0,21.23
194,5.62,21.73,-0.2,0,91.5,0,21.23
195,3.37,10.12,-0.3,0,90.3,0,21.23
196,2.75,9.06,-0.6,0,91.7,0,21.23
197,2.58,10.68,-0.8,0,92.7,0,21.23
198,3.17,14.22,-0.9,0,92.3,0,21.23
199,5.4,24.45,-1.0,0,92.4,0,21.23
200,14.01,36.7,-1.0,0,92.6,0,21.23
